DWD classification (ftp structure),,,,,temporal,attribute group,attribute,attribute-comment,aggregation,spatial-aggregation,spatial,unit,temporal-start,temporal-end,prediction,format,compressed,machine-readable,url,url-comment,recent & historical,now,comment
climate_environment,cdc,observations_germany,climate,,hourly,dew point,dew point,,,,Station,,,2020,,csv,TRUE,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/hourly/dew_point/recent/stundenwerte_TD_00044_akt.zip,Station ID,TRUE,,"temporal extent depends on station, station table: https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/hourly/dew_point/recent/TD_Stundenwerte_Beschreibung_Stationen.txt"
climate_environment,cdc,observations_germany,climate,,hourly,precipitation,precipitation,,,,Station,mm,1995,2020,,csv,TRUE,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/hourly/precipitation/recent/stundenwerte_RR_00020_akt.zip,Station ID,TRUE,,"temporal extent depends on station, station table: https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/hourly/precipitation/recent/RR_Stundenwerte_Beschreibung_Stationen.txt"
climate_environment,cdc,observations_germany,climate,,hourly,pressure,pressure,,,,Station,hPa,1949,2020,,csv,TRUE,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/hourly/pressure/recent/stundenwerte_P0_00071_akt.zip,Station ID,TRUE,,"temporal extent depends on station, station table: https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/hourly/pressure/recent/P0_Stundenwerte_Beschreibung_Stationen.txt"
climate_environment,cdc,observations_germany,climate,,hourly,temperature soil,soil temperature,,,,Station,°C,1949,2020,,csv,TRUE,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/hourly/soil_temperature/recent/stundenwerte_EB_00044_akt.zip,Station ID,TRUE,,"temporal extent depends on station, station table: https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/hourly/soil_temperature/recent/EB_Stundenwerte_Beschreibung_Stationen.txt"
climate_environment,cdc,observations_germany,climate,,hourly,solar,solar,,,,Station,J/cm^2,1937,2020,,csv,TRUE,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/hourly/solar/stundenwerte_ST_00183_row.zip,Station ID,TRUE,,"temporal extent depends on station, station table: https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/hourly/solar/ST_Stundenwerte_Beschreibung_Stationen.txt"
climate_environment,cdc,observations_germany,climate,,hourly,sunshine,sunshine duration,,,,Station,min,1893,2020,,csv,TRUE,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/hourly/sun/recent/stundenwerte_SD_00044_akt.zip,Station ID,TRUE,,"temporal extent depends on station, station table: https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/hourly/sun/recent/SD_Stundenwerte_Beschreibung_Stationen.txt"
climate_environment,cdc,observations_germany,climate,,hourly,visibility,visibility,,,,Station,m,1949,2020,,csv,TRUE,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/hourly/visibility/recent/stundenwerte_VV_00096_akt.zip,Station ID,TRUE,,"temporal extent depends on station, station table: https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/hourly/visibility/recent/VV_Stundenwerte_Beschreibung_Stationen.txt"
climate_environment,cdc,observations_germany,climate,,hourly,wind,wind,,,,Station,"m/s, Grad",1893,2020,,csv,TRUE,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/hourly/wind/recent/stundenwerte_FF_00011_akt.zip,Station ID,TRUE,,"temporal extent depends on station, station table: https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/hourly/wind/recent/FF_Stundenwerte_Beschreibung_Stationen.txt"
climate_environment,cdc,observations_germany,climate,,hourly,wind,wind synop,,,,Station,,1893,2020,,csv,TRUE,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/hourly/wind_synop/recent/stundenwerte_F_00011_akt.zip,Station ID,TRUE,,"temporal extent depends on station, station table: https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/hourly/wind_synop/recent/F_Stundenwerte_Beschreibung_Stationen.txt"
climate_environment,cdc,observations_germany,climate,,daily,collection,kl (collection),,,,Station,collection,1781,2020,,csv,TRUE,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/daily/kl/historical/tageswerte_KL_00001_19370101_19860630_hist.zip,Station ID,TRUE,,"temporal extent depends on station, station table: https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/daily/kl/historical/KL_Tageswerte_Beschreibung_Stationen.txt"
climate_environment,cdc,observations_germany,climate,,daily,precipitation,precipitation type,,,,Station,precipitation type,1781,2020,,csv,TRUE,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/daily/more_precip/historical/tageswerte_RR_00001_19120101_19860630_hist.zip,Station ID,TRUE,,"temporal extent depends on station, station table: https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/daily/more_precip/historical/RR_Tageswerte_Beschreibung_Stationen.txt"
climate_environment,cdc,observations_germany,climate,,daily,temperature soil,soil temperature,,,,Station,°C,1949,2020,,csv,TRUE,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/daily/soil_temperature/historical/tageswerte_EB_00003_19510101_20110331_hist.zip,Station ID,TRUE,,"temporal extent depends on station, station table: https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/daily/soil_temperature/historical/EB_Tageswerte_Beschreibung_Stationen.txt"
